,static_hit_rate,static_hit_rate,static_hit_rate,static_hit_rate,walkforward_hit_rate,walkforward_hit_rate,walkforward_hit_rate,walkforward_hit_rate,degradation,degradation
,mean,std,min,max,mean,std,min,max,mean,std
model,,,,,,,,,,
AdaBoost,58.2,13.3,41.7,86.7,59.6,6.1,49.0,68.1,-1.4,12.3
ElasticNet,62.4,11.2,46.9,86.7,59.5,6.4,48.4,69.9,2.9,8.1
Gradient Boosting,52.8,13.2,37.5,80.0,58.7,6.8,48.6,72.6,-6.0,10.4
Lasso,62.4,11.2,46.9,86.7,59.5,6.4,47.6,69.9,2.9,8.1
Random Forest,49.2,11.7,20.0,66.7,60.5,5.8,50.8,68.5,-11.3,13.7
Ridge,61.3,10.1,43.8,83.3,55.6,4.9,46.0,66.4,5.7,7.1
XGBoost,58.4,14.5,37.5,86.7,59.5,6.7,46.0,69.9,-1.1,11.6
